id,TimeOfTheDay,DayOfTheWeek,Temperature,Weather,Company
1985,Afternoon,Workday,between 5° and 10° C,Cloudy,With Family
106,Afternoon,Workday,between 5° and 10° C,Cloudy,With Family
1719,Afternoon,Workday,between 5° and 10° C,Cloudy,With Family
2145,Afternoon,Workday,between 5° and 10° C,Cloudy,With Family
3522,Afternoon,Workday,between 5° and 10° C,Cloudy,With Family
1070,Afternoon,Workday,between 5° and 10° C,Cloudy,With Family
4162,Afternoon,Workday,between 5° and 10° C,Cloudy,With Family
772,Afternoon,Workday,between 5° and 10° C,Cloudy,With Family
2183,Afternoon,Workday,between 5° and 10° C,Cloudy,With Family
3472,Afternoon,Workday,> 30° C,Raining,Alone
771,Afternoon,Workday,> 30° C,Raining,Alone
4846,Afternoon,Workday,> 30° C,Raining,Alone
560,Afternoon,Workday,> 30° C,Raining,Alone
290,Afternoon,Workday,< 0° C,Raining,With Family
2980,Afternoon,Workday,< 0° C,Raining,With Family
242,Afternoon,Workday,< 0° C,Raining,With Family
2130,Afternoon,Workday,< 0° C,Raining,With Family
731,Afternoon,Workday,< 0° C,Raining,With Family
2572,Afternoon,Workday,between 20° and 25° C,Sunny,Alone
1550,Afternoon,Workday,between 20° and 25° C,Sunny,Alone
448,Afternoon,Workday,< 0° C,Snowing,With Family
4345,Afternoon,Workday,< 0° C,Snowing,With Family
358,Afternoon,Workday,between 5° and 10° C,Cloudy,Alone
4722,Evening,Workday,> 30° C,Raining,With Family
3716,Evening,Workday,< 0° C,Snowing,With (a) friend(s)
1848,Evening,Workday,< 0° C,Snowing,With (a) friend(s)
2278,Evening,Workday,< 0° C,Snowing,With (a) friend(s)
679,Evening,Workday,< 0° C,Snowing,With (a) friend(s)
3909,Evening,Workday,between 25° and 30° C,Partly cloudy,With Family
913,Evening,Workday,between 25° and 30° C,Partly cloudy,With Family
3869,Evening,Workday,between 25° and 30° C,Very cloudy,With (a) friend(s)
3045,Evening,Workday,between 25° and 30° C,Very cloudy,With (a) friend(s)
1135,Evening,Workday,between 25° and 30° C,Very cloudy,With (a) friend(s)
4205,Evening,Workday,< 0° C,Snowing,Alone
4489,Evening,Workday,between 5° and 10° C,Partly cloudy,Alone
3806,Evening,Workday,< 0° C,Cloudy,With Family
22,Evening,Workday,between 25° and 30° C,Partly cloudy,Alone
3917,Evening,Workday,between 10° and 15° C,Cloudy,With Family
4401,Evening,Workday,between 10° and 15° C,Cloudy,With Family
4470,Evening,Workday,between 10° and 15° C,Cloudy,With Family
9,Evening,Workday,between 15° and 20° C,Partly cloudy,With Family
1754,Evening,Workday,between 15° and 20° C,Partly cloudy,With Family
98,Evening,Workday,between 15° and 20° C,Partly cloudy,With Family
1604,Evening,Workday,between 20° and 25° C,Sunny,Alone
129,Evening,Workday,> 30° C,Very cloudy,Alone
2243,Evening,Workday,between 0° and 5° C,Very cloudy,With (a) friend(s)
3781,Evening,Workday,between 0° and 5° C,Very cloudy,With (a) friend(s)
3731,Evening,Workday,< 0° C,Sunny,With (a) friend(s)
2022,Evening,Workday,between 0° and 5° C,Partly cloudy,With (a) friend(s)
997,Evening,Workday,> 30° C,Cloudy,Alone
2058,Evening,Workday,< 0° C,Very cloudy,With (a) friend(s)
4729,Evening,Workday,> 30° C,Cloudy,Alone
3458,Evening,Workday,> 30° C,Sunny,With (a) friend(s)
3456,Evening,Workday,> 30° C,Sunny,With (a) friend(s)
2189,Evening,Workday,between 10° and 15° C,Raining,With Family
3695,Evening,Workday,between 5° and 10° C,Partly cloudy,With (a) friend(s)
3932,Evening,Workday,between 5° and 10° C,Partly cloudy,With (a) friend(s)
2540,Evening,Workday,between 5° and 10° C,Raining,Alone
1048,Evening,Workday,between 10° and 15° C,Sunny,Alone
1135,Evening,Workday,between 25° and 30° C,Sunny,Alone
4853,Evening,Workday,between 25° and 30° C,Sunny,Alone
3347,Evening,Workday,> 30° C,Very cloudy,With Family
3223,Evening,Workday,> 30° C,Partly cloudy,With Family
289,Evening,Workday,between 5° and 10° C,Very cloudy,With (a) friend(s)
4429,Evening,Workday,between 5° and 10° C,Very cloudy,With (a) friend(s)
3904,Evening,Workday,between 5° and 10° C,Very cloudy,With (a) friend(s)
1963,Evening,Workday,between 5° and 10° C,Very cloudy,With (a) friend(s)
708,Evening,Workday,between 5° and 10° C,Very cloudy,With (a) friend(s)
2824,Evening,Workday,between 15° and 20° C,Partly cloudy,Alone
553,Evening,Workday,between 15° and 20° C,Raining,Alone
3789,Evening,Workday,< 0° C,Snowing,With (a) friend(s)
91,Evening,Workday,between 25° and 30° C,Very cloudy,With (a) friend(s)
1363,Evening,Workday,between 10° and 15° C,Raining,With (a) friend(s)
318,Evening,Workday,between 0° and 5° C,Raining,With (a) friend(s)
563,Evening,Workday,> 30° C,Raining,Alone
1253,Evening,Workday,> 30° C,Raining,Alone
4136,Evening,Workday,between 0° and 5° C,Sunny,With (a) friend(s)
4019,Evening,Workday,between 5° and 10° C,Partly cloudy,With Family
3776,Evening,Workday,between 5° and 10° C,Partly cloudy,With Family
2903,Evening,Workday,> 30° C,Raining,Alone
678,Evening,Workday,between 5° and 10° C,Sunny,With (a) friend(s)
194,Evening,Workday,between 5° and 10° C,Sunny,With (a) friend(s)
1444,Evening,Workday,between 15° and 20° C,Cloudy,With Family
4530,Evening,Workday,between 15° and 20° C,Cloudy,With Family
1863,Evening,Workday,between 5° and 10° C,Partly cloudy,Alone
928,Evening,Workday,between 15° and 20° C,Cloudy,With (a) friend(s)
1707,Evening,Workday,between 15° and 20° C,Cloudy,With (a) friend(s)
743,Evening,Workday,between 20° and 25° C,Raining,Alone
1309,Evening,Workday,between 15° and 20° C,Sunny,With (a) friend(s)
4672,Evening,Workday,> 30° C,Partly cloudy,Alone
3781,Evening,Workday,between 0° and 5° C,Cloudy,With Family
432,Evening,Workday,between 10° and 15° C,Raining,With (a) friend(s)
2862,Evening,Workday,between 10° and 15° C,Raining,With (a) friend(s)
2672,Evening,Workday,> 30° C,Partly cloudy,With (a) friend(s)
4441,Evening,Workday,between 15° and 20° C,Very cloudy,With Family
3898,Evening,Workday,between 15° and 20° C,Very cloudy,With Family
3218,Evening,Workday,between 15° and 20° C,Very cloudy,With Family
570,Evening,Workday,between 15° and 20° C,Very cloudy,With Family
2889,Evening,Workday,between 15° and 20° C,Very cloudy,With Family
1036,Evening,Workday,between 15° and 20° C,Very cloudy,With Family
4162,Evening,Workday,between 15° and 20° C,Very cloudy,With (a) friend(s)
1415,Evening,Workday,between 15° and 20° C,Very cloudy,With (a) friend(s)
58,Evening,Workday,between 15° and 20° C,Very cloudy,With (a) friend(s)
3964,Evening,Workday,< 0° C,Partly cloudy,Alone
841,Evening,Workday,between 10° and 15° C,Sunny,With (a) friend(s)
2686,Evening,Workday,between 10° and 15° C,Sunny,With (a) friend(s)
865,Evening,Workday,between 25° and 30° C,Cloudy,Alone
1229,Evening,Workday,between 25° and 30° C,Cloudy,Alone
3605,Evening,Workday,between 25° and 30° C,Cloudy,Alone
1259,Evening,Workday,between 25° and 30° C,Raining,With Family
772,Evening,Workday,between 10° and 15° C,Partly cloudy,With Family
502,Evening,Workday,between 10° and 15° C,Partly cloudy,With Family
1937,Evening,Workday,between 10° and 15° C,Partly cloudy,With Family
1999,Evening,Workday,between 10° and 15° C,Partly cloudy,With Family
1840,Evening,Workday,between 0° and 5° C,Cloudy,With Family
4417,Evening,Workday,between 5° and 10° C,Raining,With (a) friend(s)
1693,Evening,Workday,between 5° and 10° C,Raining,With (a) friend(s)
362,Evening,Workday,< 0° C,Very cloudy,With (a) friend(s)
2218,Evening,Workday,between 25° and 30° C,Very cloudy,Alone
3500,Evening,Workday,> 30° C,Sunny,With (a) friend(s)
279,Evening,Workday,< 0° C,Cloudy,With (a) friend(s)
2351,Evening,Workday,between 0° and 5° C,Snowing,With Family
1151,Evening,Workday,between 25° and 30° C,Sunny,With (a) friend(s)
2546,Evening,Workday,between 25° and 30° C,Sunny,With (a) friend(s)
3520,Evening,Workday,between 20° and 25° C,Sunny,With (a) friend(s)
2714,Evening,Workday,between 20° and 25° C,Sunny,With (a) friend(s)
3232,Evening,Workday,> 30° C,Sunny,With (a) friend(s)
169,Evening,Workday,between 20° and 25° C,Sunny,With Family
4066,Evening,Workday,between 20° and 25° C,Partly cloudy,With Family
2013,Evening,Workday,between 0° and 5° C,Snowing,Alone
1134,Evening,Workday,between 0° and 5° C,Snowing,Alone
3688,Evening,Workday,between 0° and 5° C,Snowing,Alone
2414,Evening,Workday,between 15° and 20° C,Raining,With (a) friend(s)
4323,Evening,Workday,between 5° and 10° C,Raining,With (a) friend(s)
2243,Evening,Workday,between 15° and 20° C,Cloudy,With Family
4476,Evening,Workday,between 5° and 10° C,Sunny,With Family
746,Evening,Workday,> 30° C,Partly cloudy,With Family
3339,Evening,Workday,> 30° C,Sunny,With (a) friend(s)
3441,Evening,Workday,> 30° C,Sunny,With (a) friend(s)
108,Evening,Workday,between 0° and 5° C,Sunny,With Family
3514,Evening,Workday,between 25° and 30° C,Partly cloudy,With (a) friend(s)
