id,product_id,color,price,season,image_url,name,brand,gender,category,isTrendy
1,VE121X005-802,Black,18,ALL,https://secure-i5.ztat.net/detail/VE/12/1X/00/58/02/VE121X005-802@1.jpg,GLORY NEW - Cardigan - black,Vero Moda,FEMALE,womens-clothing-cardigans,0
2,ES421I02U-802,Black,55,ALL,https://secure-i6.ztat.net/detail/ES/42/1I/02/U8/02/ES421I02U-802@6.jpg,Cardigan - black,ESPRIT Collection,FEMALE,womens-clothing-cardigans,0
3,ES121I03J-603,Petrol,29,ALL,https://secure-i4.ztat.net/detail/ES/12/1I/03/J6/03/ES121I03J-603@1.1.jpg,Cardigan - deep emerald,Esprit,FEMALE,womens-clothing-cardigans,0
4,VE121I08P-802,Black,18,ALL,https://secure-i3.ztat.net/detail/VE/12/1I/08/P8/02/VE121I08P-802@1.1.jpg,GLORY NEW LS O-NECK CARDIGAN - Cardigan - black,Vero Moda,FEMALE,womens-clothing-cardigans,0
5,VE121X007-111,Grey,25,ALL,https://secure-i6.ztat.net/detail/VE/12/1X/00/71/11/VE121X007-111@1.jpg,GLORY NEW - Cardigan - grey,Vero Moda,FEMALE,womens-clothing-cardigans,0
6,VE121I08P-503,Blue,18,ALL,https://secure-i5.ztat.net/detail/VE/12/1I/08/P5/03/VE121I08P-503@1.1.jpg,GLORY NEW LS O-NECK CARDIGAN - Cardigan - blue,Vero Moda,FEMALE,womens-clothing-cardigans,0
7,MM421I00B-Q11,Black,32,ALL,https://secure-i3.ztat.net/detail/MM/42/1I/00/BQ/11/MM421I00B-Q11@5.jpg,Cardigan - black,Mexx Metropolitan,FEMALE,womens-clothing-cardigans,0
8,ON321I08U-Q11,Black,18,ALL,https://secure-i2.ztat.net/detail/ON/32/1I/08/UQ/11/ON321I08U-Q11@21.jpg,RICCO - Cardigan - black,ONLY,FEMALE,womens-clothing-cardigans,0
9,ON321I08U-C11,Grey,18,ALL,https://secure-i2.ztat.net/detail/ON/32/1I/08/UC/11/ON321I08U-C11@9.jpg,RICCO - Cardigan - light grey melange,ONLY,FEMALE,womens-clothing-cardigans,0
10,CO121G00I-Q11,Black,30,SUMMER,https://secure-i6.ztat.net/detail/CO/12/1G/00/IQ/11/CO121G00I-Q11@3.jpg,Cardigan - black,"comma,",FEMALE,womens-clothing-cardigans,0
11,VE121I0BR-C11,Grey,14,ALL,https://secure-i2.ztat.net/detail/VE/12/1I/0B/RC/11/VE121I0BR-C11@3.1.jpg,LULULOVE - Cardigan - grey,Vero Moda,FEMALE,womens-clothing-cardigans,0
12,AN621I02W-A11,White,21,ALL,https://secure-i1.ztat.net/detail/AN/62/1I/02/WA/11/AN621I02W-A11@6.1.jpg,Cardigan - offwhite,Anna Field,FEMALE,womens-clothing-cardigans,0
13,ES421I02T-K11,Blue,39,ALL,https://secure-i4.ztat.net/detail/ES/42/1I/02/TK/11/ES421I02T-K11@4.jpg,Cardigan - blue,ESPRIT Collection,FEMALE,womens-clothing-cardigans,0
14,ES421I02W-802,Black,39,ALL,https://secure-i3.ztat.net/detail/ES/42/1I/02/W8/02/ES421I02W-802@1.1.jpg,Cardigan - black,ESPRIT Collection,FEMALE,womens-clothing-cardigans,0
15,RM021D009-802,Black,65,ALL,https://secure-i3.ztat.net/detail/RM/02/1D/00/98/02/RM021D009-802@1.1.jpg,Cardigan - schwarz,Rosemunde,FEMALE,womens-clothing-cardigans,0
16,V1021A010-802,Black,25,ALL,https://secure-i1.ztat.net/detail/V1/02/1A/01/08/02/V1021A010-802@1.jpg,ROB - Cardigan - black,Vila,FEMALE,womens-clothing-cardigans,0
17,VE121X007-113,Grey,25,ALL,https://secure-i2.ztat.net/detail/VE/12/1X/00/71/13/VE121X007-113@1.jpg,GLORY NEW - Cardigan - grey,Vero Moda,FEMALE,womens-clothing-cardigans,0
18,V1021A006-801,Black,28,ALL,https://secure-i5.ztat.net/detail/V1/02/1A/00/68/01/V1021A006-801@1.jpg,ROB LONG - Cardigan - black,Vila,FEMALE,womens-clothing-cardigans,0
19,VE121I0BR-Q11,Black,14,ALL,https://secure-i2.ztat.net/detail/VE/12/1I/0B/RQ/11/VE121I0BR-Q11@1.1.jpg,LULULOVE - Cardigan - black,Vero Moda,FEMALE,womens-clothing-cardigans,0
20,ES421I02W-714,Brown,39,ALL,https://secure-i1.ztat.net/detail/ES/42/1I/02/W7/14/ES421I02W-714@1.1.jpg,Cardigan - brown,ESPRIT Collection,FEMALE,womens-clothing-cardigans,0
21,VE121I08P-103,Grey,18,ALL,https://secure-i3.ztat.net/detail/VE/12/1I/08/P1/03/VE121I08P-103@1.1.jpg,GLORY NEW LS O-NECK CARDIGAN - Cardigan - grey,Vero Moda,FEMALE,womens-clothing-cardigans,0
22,ES421I03F-K11,Blue,29,ALL,https://secure-i4.ztat.net/detail/ES/42/1I/03/FK/11/ES421I03F-K11@5.jpg,Cardigan - dark navy,ESPRIT Collection,FEMALE,womens-clothing-cardigans,0
23,VE121I0AX-C00,Grey,22,ALL,https://secure-i6.ztat.net/detail/VE/12/1I/0A/XC/00/VE121I0AX-C00@1.1.jpg,DANIA - Cardigan - medium grey melange,Vero Moda,FEMALE,womens-clothing-cardigans,0
24,VE121X005-503,Blue,18,ALL,https://secure-i3.ztat.net/detail/VE/12/1X/00/55/03/VE121X005-503@1.jpg,GLORY NEW - Cardigan - blue,Vero Moda,FEMALE,womens-clothing-cardigans,0
25,VE121X005-113,Grey,18,ALL,https://secure-i6.ztat.net/detail/VE/12/1X/00/51/13/VE121X005-113@1.jpg,GLORY NEW - Cardigan - grey,Vero Moda,FEMALE,womens-clothing-cardigans,0
26,VE121I08P-101,Grey,18,ALL,https://secure-i5.ztat.net/detail/VE/12/1I/08/P1/01/VE121I08P-101@1.1.jpg,GLORY NEW LS O-NECK CARDIGAN - Cardigan - grey,Vero Moda,FEMALE,womens-clothing-cardigans,0
27,VE121X007-503,Blue,18,ALL,https://secure-i5.ztat.net/detail/VE/12/1X/00/75/03/VE121X007-503@1.jpg,GLORY NEW - Cardigan - blue,Vero Moda,FEMALE,womens-clothing-cardigans,0
28,RM021D009-707,Brown,65,ALL,https://secure-i5.ztat.net/detail/RM/02/1D/00/97/07/RM021D009-707@1.1.jpg,Cardigan - brown melange,Rosemunde,FEMALE,womens-clothing-cardigans,0
29,RM021D009-103,Grey,65,ALL,https://secure-i3.ztat.net/detail/RM/02/1D/00/91/03/RM021D009-103@1.1.jpg,Cardigan - dark grey,Rosemunde,FEMALE,womens-clothing-cardigans,0
30,VE121X005-111,Grey,18,ALL,https://secure-i4.ztat.net/detail/VE/12/1X/00/51/11/VE121X005-111@1.jpg,GLORY NEW - Cardigan - grey,Vero Moda,FEMALE,womens-clothing-cardigans,0
31,VE121X007-802,Black,25,ALL,https://secure-i1.ztat.net/detail/VE/12/1X/00/78/02/VE121X007-802@1.jpg,GLORY NEW - Cardigan - black,Vero Moda,FEMALE,womens-clothing-cardigans,0
32,M5821I034-Q11,Black,34,ALL,https://secure-i6.ztat.net/detail/M5/82/1I/03/4Q/11/M5821I034-Q11@3.jpg,Cardigan - black,More & More,FEMALE,womens-clothing-cardigans,0
33,ES121I03J-502,Blue,29,ALL,https://secure-i6.ztat.net/detail/ES/12/1I/03/J5/02/ES121I03J-502@1.1.jpg,Cardigan - cinder blue,Esprit,FEMALE,womens-clothing-cardigans,0
34,ES421I02T-802,Black,39,ALL,https://secure-i3.ztat.net/detail/ES/42/1I/02/T8/02/ES421I02T-802@1.1.jpg,Cardigan - black,ESPRIT Collection,FEMALE,womens-clothing-cardigans,0
35,CO121I02M-Q11,Black,40,SUMMER,https://secure-i2.ztat.net/detail/CO/12/1I/02/MQ/11/CO121I02M-Q11@1.jpg,Cardigan - schwarz,"comma,",FEMALE,womens-clothing-cardigans,0
36,ES421I03G-C11,Grey,55,ALL,https://secure-i3.ztat.net/detail/ES/42/1I/03/GC/11/ES421I03G-C11@5.jpg,Cardigan - nougat melange,ESPRIT Collection,FEMALE,womens-clothing-cardigans,0
37,ES121I03J-712,Brown,29,ALL,https://secure-i3.ztat.net/detail/ES/12/1I/03/J7/12/ES121I03J-712@1.1.jpg,Cardigan - timber melange,Esprit,FEMALE,womens-clothing-cardigans,0
38,ES121I03J-802,Black,29,ALL,https://secure-i3.ztat.net/detail/ES/12/1I/03/J8/02/ES121I03J-802@1.1.jpg,Cardigan - black,Esprit,FEMALE,womens-clothing-cardigans,0
39,CO121I03B-Q11,Black,42,ALL,https://secure-i3.ztat.net/detail/CO/12/1I/03/BQ/11/CO121I03B-Q11@12.jpg,Cardigan - black,"comma,",FEMALE,womens-clothing-cardigans,0
40,CO121I03C-Q11,Black,34,ALL,https://secure-i2.ztat.net/detail/CO/12/1I/03/CQ/11/CO121I03C-Q11@12.jpg,Cardigan - black,"comma,",FEMALE,womens-clothing-cardigans,0
41,4BE21I02G-302,Orange,33,SUMMER,https://secure-i2.ztat.net/detail/4B/E2/1I/02/G3/02/4BE21I02G-302@16.jpg,Cardigan - red,Benetton,FEMALE,womens-clothing-cardigans,0
42,P5621G00E-A00,White,37,SUMMER,https://secure-i3.ztat.net/detail/P5/62/1G/00/EA/00/P5621G00E-A00@4.jpg,Cardigan - weiß,Passport,FEMALE,womens-clothing-cardigans,0
43,V1021I05K-113,Grey,20,WINTER,https://secure-i2.ztat.net/detail/V1/02/1I/05/K1/13/V1021I05K-113@1.1.jpg,KAKTUS - Cardigan - dark grey melange,Vila,FEMALE,womens-clothing-cardigans,0
44,ZA821J002-C11,Grey,17,ALL,https://secure-i2.ztat.net/detail/ZA/82/1J/00/2C/11/ZA821J002-C11@20.jpg,Cardigan - grey melange,Zalando Essentials,FEMALE,womens-clothing-cardigans,0
45,4BE21I077-Q11,Black,33,SUMMER,https://secure-i6.ztat.net/detail/4B/E2/1I/07/7Q/11/4BE21I077-Q11@3.1.jpg,Cardigan - black,Benetton,FEMALE,womens-clothing-cardigans,0
46,ES121I05I-K11,Blue,39,ALL,https://secure-i2.ztat.net/detail/ES/12/1I/05/IK/11/ES121I05I-K11@12.jpg,NOOS  - Cardigan - cinder blue,Esprit,FEMALE,womens-clothing-cardigans,0
47,M5821D065-K11,Blue,42,ALL,https://secure-i4.ztat.net/detail/M5/82/1D/06/5K/11/M5821D065-K11@12.jpg,Cardigan - marine,More & More,FEMALE,womens-clothing-cardigans,0
48,ES121I05I-Q11,Black,39,ALL,https://secure-i6.ztat.net/detail/ES/12/1I/05/IQ/11/ES121I05I-Q11@16.jpg,NOOS  - Cardigan - black,Esprit,FEMALE,womens-clothing-cardigans,0
49,M5821D065-Q11,Black,42,ALL,https://secure-i6.ztat.net/detail/M5/82/1D/06/5Q/11/M5821D065-Q11@14.jpg,Cardigan - black,More & More,FEMALE,womens-clothing-cardigans,0
50,V1021I08V-C12,Beige,17,ALL,https://secure-i1.ztat.net/detail/V1/02/1I/08/VC/12/V1021I08V-C12@2.jpg,CONFIDENT - Cardigan - super light grey melange,Vila,FEMALE,womens-clothing-cardigans,0
51,ZA821J002-C12,Grey,17,ALL,https://secure-i2.ztat.net/detail/ZA/82/1J/00/2C/12/ZA821J002-C12@2.1.jpg,Cardigan - light grey melange,Zalando Essentials,FEMALE,womens-clothing-cardigans,0
52,ZA821J002-Q11,Black,17,ALL,https://secure-i3.ztat.net/detail/ZA/82/1J/00/2Q/11/ZA821J002-Q11@14.jpg,Cardigan - black,Zalando Essentials,FEMALE,womens-clothing-cardigans,0
53,ES421I04G-K11,Blue,39,ALL,https://secure-i3.ztat.net/detail/ES/42/1I/04/GK/11/ES421I04G-K11@12.1.jpg,Cardigan - dark navy,ESPRIT Collection,FEMALE,womens-clothing-cardigans,0
54,ES421I04F-Q11,Black,39,ALL,https://secure-i4.ztat.net/detail/ES/42/1I/04/FQ/11/ES421I04F-Q11@13.jpg,Cardigan - black,ESPRIT Collection,FEMALE,womens-clothing-cardigans,0
55,ES421I04F-C11,Grey,39,ALL,https://secure-i5.ztat.net/detail/ES/42/1I/04/FC/11/ES421I04F-C11@16.jpg,Cardigan - cosy grey melange,ESPRIT Collection,FEMALE,womens-clothing-cardigans,0
56,ES421I04G-Q11,Black,39,ALL,https://secure-i4.ztat.net/detail/ES/42/1I/04/GQ/11/ES421I04G-Q11@12.jpg,Cardigan - black,ESPRIT Collection,FEMALE,womens-clothing-cardigans,0
57,ES421I04F-K11,Black,39,ALL,https://secure-i1.ztat.net/detail/ES/42/1I/04/FK/11/ES421I04F-K11@14.jpg,Cardigan - dark navy,ESPRIT Collection,FEMALE,womens-clothing-cardigans,0
58,TO221I031-D11,Silver,42,ALL,https://secure-i5.ztat.net/detail/TO/22/1I/03/1D/11/TO221I031-D11@14.jpg,Cardigan - dark silver grey,Tom Tailor,FEMALE,womens-clothing-cardigans,0
59,ES421I03G-K11,Blue,55,ALL,https://secure-i3.ztat.net/detail/ES/42/1I/03/GK/11/ES421I03G-K11@15.jpg,Cardigan - blue,ESPRIT Collection,FEMALE,womens-clothing-cardigans,0
